district_name,state_name,grade_10_avg_performance,g3_lang,g3_math,g3_evs,g5_lang,g5_math,g5_evs,g8_lang,g8_math,g8_sci,g8_sst,g3_avg,g5_avg,g8_avg,growth_g3_g5,growth_g5_g8,performance_std,Performance_Class,state_encoded
Baran,Rajasthan,38.293360676666666,66.346785,62.22036258333333,66.6665251,64.64943,55.87583146666667,59.23129938461538,58.662453,45.3092006,44.0725105,45.64326277272728,65.07789089444445,59.918853617094015,48.42185671818181,-5.159037277350436,-11.4969968989122,8.526625727718216,High,29
Bareilly,Uttar Pradesh,31.889638793333337,52.201285,45.69357658333333,50.2114611,52.877995,39.2135,46.64485976923077,43.876003,30.3320291,32.89981508333333,33.02915945454546,49.36877422777777,46.24545158974359,35.034251659469696,-3.123322638034182,-11.211199930273892,7.537956016489303,Low,34
Barmer,Rajasthan,43.96169122666666,65.813745,64.33623191666668,65.3088473,65.06774,53.643860933333336,57.05022723076923,62.289265,45.4847473,46.56103825,48.93962199431819,65.15294140555555,58.58727605470085,50.934899251136365,-6.565665350854701,-7.652376803564486,7.115939326001251,High,29
Barnala,Punjab,56.888705470000005,83.7112435,75.40452812500001,78.75955816249999,72.9722155,62.76605415,64.48459873076922,71.83265,49.7101768,50.9347284375,48.93962199431819,81.95485225555555,69.823250991453,57.97851062878788,-12.131601264102557,-11.844740362665114,11.988456818217507,High,28
Barpeta,Assam,37.51252230333333,68.18205,65.73623575,68.7558882,57.281185,51.41148786666667,53.5600663076923,49.219204,44.5612155,39.0663755,41.54597213636364,67.55805798333334,54.084246391452986,43.59819178409091,-13.473811591880356,-10.486054607362078,12.010940348474447,Medium,3
Barwani,Madhya Pradesh,34.35119951666667,63.30435,57.649307916666665,62.3088834,55.53875,42.49799086666667,49.12646123076923,51.345455,34.7933457,36.080578583333335,38.227141,61.08751377222222,49.0544006991453,40.11163007083333,-12.033113073076926,-8.942770628311969,10.525814725349026,Low,20
Baster,Chhattisgarh,31.45715641,51.6463355,43.439338166666666,49.3745278,47.744896,35.8100026,42.32038884615384,45.05806,26.4954631,32.7286715,31.111238409090905,48.15340048888888,41.95842914871795,33.848358252272725,-6.194971340170937,-8.110070896445222,7.173854766235971,Low,6
Basti,Uttar Pradesh,34.987719760000004,62.7679805,58.694841833333335,60.13245529999999,55.676918,42.69246106666667,48.293137615384616,46.456524,33.7511515,33.6157385,36.05948663636364,60.53175921111111,48.88750556068376,37.4707251590909,-11.644253650427345,-11.41678040159286,11.53070400685434,Medium,34
Bathinda,Punjab,52.32098873666666,77.19087250000001,70.68049883333333,73.3968941,67.93331,57.04404473333333,56.96306646153846,70.76383,49.7101768,50.9347284375,48.93962199431819,73.75608847777778,60.64680706495727,58.81134720681818,-13.109281412820517,-1.8354598581390815,8.150331932987806,High,28
Begusarai,Bihar,38.30590393333333,55.1396165,51.861696083333335,52.0824529,56.578068,47.5919406,50.3138836923077,51.976765,41.06983755,40.00541066666667,40.1495175,53.02792182777778,51.49463076410257,43.30038267916667,-1.5332910636752146,-8.1942480849359,5.230068531277957,High,4
Belagavi,Karnataka,33.58749834666666,50.5267585,46.058292916666666,50.5773102,49.602814,37.97671613333333,39.47103984615384,50.22326,30.10823865,35.23363633333333,35.71576668181819,49.05412053888889,42.3501899931624,37.82022541628788,-6.703930545726493,-4.529964576874512,5.651897372494497,Low,16
Belagavi Chikkodi,Karnataka,41.54946201333333,73.91045,70.76278866666667,71.9456222,70.182495,58.44409293333333,57.62700538461539,56.015507,43.11724005,42.68874925,46.393834909090906,72.20628695555556,62.0845311059829,47.05383280227273,-10.12175584957265,-15.030698303710174,12.655814098063836,High,16
Bemetara,Chhattisgarh,28.91983387,43.251291,38.60423,44.0592597,38.029083,28.976638533333333,33.29245523076923,44.32402,26.312021500000004,30.95972958333333,32.88128427272727,41.97159356666667,33.43272558803418,33.61926383901515,-8.538867978632489,0.1865382509809663,4.876960712626353,Low,6
Bengaluru Rural,Karnataka,38.63755995,56.8370035,50.73404366666667,56.6688874,59.2023,46.261623066666665,47.94765969230769,50.83967,30.1277645,36.25128058333333,36.48510813636364,54.74664485555556,51.137194252991456,38.42595580492424,-3.6094506025641024,-12.711238448067212,8.572908954213164,High,16
